Name;URL;Publisher;Description;MininumAndroidVersion;Icon
Microsoft Outlook;https://play.google.com/store/apps/details?id=com.microsoft.office.outlook;Microsoft Corporation; Meet Outlook for Android, the app that helps millions of users connect all their email accounts, calendars and files in one convenient spot. With everything you need only a tap away, managing your busy days is now easier than ever. ;4_0;c:\temp\Outlook.png
Microsoft Excel;https://play.google.com/store/apps/details?id=com.microsoft.office.excel;Microsoft Corporation;The powerful Excel spreadsheet app lets you create, view, edit and share your files with others quickly and easily. It also lets you view and edit workbooks attached to email messages. Work in accounting, auditing, finance or other fields, with anyone, anywhere with confidence. With Excel, your Office moves with you and can implement the most complex formulas, with amazing features.;4_0;c:\temp\Excel.png
